,category,subclass_1,subclass_2
braised Saesongyi mushroom and eggs in soy sauce,Side dish_braised_any,Main-sub side dish,
braised eggs in soy sauce,Side dish_braised_any,Main-sub side dish,Lunch or dinner
(low-salt) braised eggs in soy sauce,Side dish_braised_any,Main-sub side dish,Lunch or dinner
braised tofu and peanut,Side dish_braised_any,Main-sub side dish,
braised tofu in marinade sauce,Side dish_braised_any,Main-sub side dish,Lunch or dinner
braised tofu and dried shrimp,Side dish_braised_any,Main-sub side dish,
braised tofu,Side dish_braised_any,Main-sub side dish,Lunch or dinner
braised tofu in ketchup,Side dish_braised_any,Main-sub side dish,
braised daikon and fried fish paste,Side dish_braised_any,Main-sub side dish,
braised soft crab in soy sauce,Side dish_braised_any,Main-sub side dish,
braised sweet potato and quail eggs,Side dish_braised_any,Main-sub side dish,
braised konjac and quail eggs,Side dish_braised_any,Main-sub side dish,
braised konjac and quail eggs in soy sauce,Side dish_braised_any,Main-sub side dish,Lunch or dinner
braised quail eggs and fried fish paste,Side dish_braised_any,Main-sub side dish,
braised quail eggs and fried fish paste bowl,Side dish_braised_any,Main-sub side dish,Lunch
(low salt · low-sugar) braised quail eggs in soy sauce,Side dish_braised_any,Main-sub side dish,Dinner
braised quail eggs in soy sauce,Side dish_braised_any,Main-sub side dish,Lunch or dinner
braised quail eggs and paprika in ketchup,Side dish_braised_any,Main-sub side dish,Lunch
braised quail eggs in ketchup,Side dish_braised_any,Main-sub side dish,Lunch
(low salt · low-sugar) braised quail eggs in ketchup,Side dish_braised_any,Main-sub side dish,Lunch
braised vegetables and fried fish paste bowl,Side dish_braised_any,Main-sub side dish,
braised fried fish paste bowl,Side dish_braised_any,Main-sub side dish,Lunch
braised cuttlefish and fried fish paste,Side dish_braised_any,Main-sub side dish,
braised burdock slices and fried fish paste,Side dish_braised_any,Main-sub side dish,
braised sweet potato and fried fish paste,Side dish_braised_any,Main-sub side dish,
braised potato and fried fish paste,Side dish_braised_any,Main-sub side dish,
braised carrot and fried fish paste,Side dish_braised_any,Main-sub side dish,
braised konjac and fried fish paste,Side dish_braised_any,Main-sub side dish,Dinner
braised tomato tofu and daikon,Side dish_braised_any,Main-sub side dish,
braised sausage and vegetables in ketchup,Side dish_braised_any,Main-sub side dish,
braised tofu in spicy sauce,Side dish_braised_any,Main-sub side dish,
braised tofu in ketchup,Side dish_braised_any,Main-sub side dish,Lunch or dinner
braised quail eggs in soy sauce,Side dish_braised_any,Main-sub side dish,
braised eggs in soy sauce,Side dish_braised_any,Main-sub side dish,
braised paprika and fried fish paste,Side dish_braised_any,Main-sub side dish,
braised beef and quail eggs,Side dish_braised_any,Main-sub side dish,
braised potato and sausage,Side dish_braised_any,Main-sub side dish,
braised tofu with perilla leaves,Side dish_braised_any,Main-sub side dish,
braised quail eggs and minced beef,Side dish_braised_any,Main-sub side dish,
braised tofu and peanut,Side dish_braised_any,Main-sub side dish,
braised tofu and fried fish paste,Side dish_braised_any,Main-sub side dish,
braised fried fish paste in ketchup,Side dish_braised_any,Main-sub side dish,
braised anchovy and garlic stem,Side dish_braised_any,Main-sub side dish,
braised white bait in soy sauce,Side dish_braised_any,Main-sub side dish,
braised baby anchovy and almond,Side dish_braised_any,Main-sub side dish,Lunch or dinner
braised potato and fried fish paste,Side dish_braised_any,Main-sub side dish,
_fried fish paste with seasoning,Side dish_braised_any,Main-sub side dish,Lunch
braised mussel,Side dish_braised_any,Main-sub side dish,
braised tuna and fried fish paste,Side dish_braised_any,Main-sub side dish,
braised tofu and rice cake in soy sauce,Side dish_braised_any,Main-sub side dish,
braised tofu in soy sauce,Side dish_braised_any,Main-sub side dish,Lunch or dinner
braised tofu in ketchup bowl,Side dish_braised_any,Main-sub side dish,
braised chicken in curry,Side dish_fried_main,Main side dish,
pork cutlet + sauce,Side dish_fried_main,Main side dish,
pork cutlet,Side dish_fried_main,Main side dish,Lunch or dinner
pork cutlet,Side dish_fried_main,Main side dish,
pork nuggets + sauce,Side dish_fried_main,Main side dish,
fried pollack,Side dish_fried_main,Main side dish,
fried fish paste nuggets,Side dish_fried_main,Main side dish,
tofu nuggets,Side dish_fried_main,Main side dish,Lunch or dinner
deep-fried shrimp in spicy sauce,Side dish_fried_main,Main side dish,
chilli shrimp,Side dish_fried_main,Main side dish,Lunch
shrimp dumpling,Side dish_fried_main,Main side dish,
tofu dumpling,Side dish_fried_main,Main side dish,Lunch
tofu dumpling in fruit sauce,Side dish_fried_main,Main side dish,Lunch
mini pork cutlet,Side dish_fried_main,Main side dish,
deep-fried Spanish mackerel in teriyaki sauce,Side dish_fried_main,Main side dish,
deep-fried shrimp,Side dish_fried_main,Main side dish,Lunch or dinner
shrimp cutlet,Side dish_fried_main,Main side dish,
shrimp cutlet + tartar sauce,Side dish_fried_main,Main side dish,Dinner
fish cutlet,Side dish_fried_main,Main side dish,Dinner
fish cutlet + tartar sauce,Side dish_fried_main,Main side dish,Lunch or dinner
deep-fried chicken nuggets,Side dish_fried_main,Main side dish,
deep-fried chicken,Side dish_fried_main,Main side dish,Lunch
deep-fried chicken without bones,Side dish_fried_main,Main side dish,
dumpling with sweet rice,Side dish_fried_main,Main side dish,Lunch
dumpling in lemon sauce,Side dish_fried_main,Main side dish,Lunch or dinner
dumpling in fruit sauce,Side dish_fried_main,Main side dish,Lunch
deep-fried shrimp spring rolls,Side dish_fried_main,Main side dish,
cheese cutlet,Side dish_fried_main,Main side dish,
chicken cutlet + sauce,Side dish_fried_main,Main side dish,
chicken cutlet,Side dish_fried_main,Main side dish,Lunch or dinner
pollack nuggets without bones,Side dish_fried_main,Main side dish,
dumpling + sauce,Side dish_fried_main,Main side dish,
pineapple dumpling + sauce,Side dish_fried_main,Main side dish,
deep-fried white fish,Side dish_fried_main,Main side dish,
pork sirloin cutlet + sauce,Side dish_fried_main,Main side dish,
pork sirloin dumpling + sauce,Side dish_fried_main,Main side dish,
deep-fried chicken nuggets,Side dish_fried_main,Main side dish,Lunch or dinner
deep-fried chicken nuggets in soy sauce,Side dish_fried_main,Main side dish,Dinner
pork nuggets + sauce,Side dish_fried_main,Main side dish,
deep-fried chicken,Side dish_fried_main,Main side dish,
deep-fried Spanish mackerel,Side dish_fried_main,Main side dish,
deep-fried chicken drumsticks,Side dish_fried_main,Main side dish,
deep-fried cuttlefish,Side dish_fried_main,Main side dish,
deep-fried cuttlefish rings,Side dish_fried_main,Main side dish,Lunch or dinner
deep-fried halibut,Side dish_fried_main,Main side dish,
deep-fried cutlassfish in curry,Side dish_fried_main,Main side dish,
deep-fried mackerel,Side dish_fried_main,Main side dish,
deep-fried chicken,Side dish_fried_main,Main side dish,
deep-fried shrimp in spicy sauce,Side dish_fried_main,Main side dish,
stir-fried chicken in hot Sauce,Side dish_fried_main,Main side dish,Lunch
fish dumpling,Side dish_fried_main,Main side dish,
deep-fried Atka mackerel,Side dish_fried_main,Main side dish,
cheese pork sirloin cutlet,Side dish_fried_main,Main side dish,
deep-fried seaweed,Side dish_fried_main,Main side dish,Lunch
pollack nuggets,Side dish_fried_main,Main side dish,Dinner
pollack nuggets in soy sauce,Side dish_fried_main,Main side dish,Dinner
deep-fried mandu (dumpling),Side dish_fried_main,Main side dish,Dinner
potato wedge,Side dish_fried_sub,Sub side dish,
deep-fried sweet potato,Side dish_fried_any,Main-sub side dish,Dinner
deep-fried potato,Side dish_fried_any,Main-sub side dish,Dinner
root vegetables mattang,Side dish_fried_any,Main-sub side dish,
sweet potato and lotus root mattang,Side dish_fried_any,Main-sub side dish,
sweet potato mattang in yuzu sauce,Side dish_fried_any,Main-sub side dish,
sweet potato mattang,Side dish_fried_any,Main-sub side dish,Lunch or dinner
deep-fried mandu (dumpling) + soy sauce with vinegar,Side dish_fried_any,Main-sub side dish,
deep-fried mandu (dumpling),Side dish_fried_any,Main-sub side dish,
deep-fried aubergine in spicy sauce,Side dish_fried_any,Main-sub side dish,
deep-fried aubergine,Side dish_fried_any,Main-sub side dish,Lunch or dinner
braised eggplant in curry,Side dish_fried_any,Main-sub side dish,
grilled fried fish paste + ketchup,Side dish_fried_any,Main-sub side dish,
deep-fried vegetables,Side dish_fried_any,Main-sub side dish,
mushroom dumpling,Side dish_fried_any,Main-sub side dish,Lunch or dinner
deep-fried onion,Side dish_fried_any,Main-sub side dish,
deep-fried onion ring,Side dish_fried_any,Main-sub side dish,Lunch or dinner
deep-fried shrimp and lotus root,Side dish_fried_any,Main-sub side dish,
deep-fried lotus root,Side dish_fried_any,Main-sub side dish,Lunch or dinner
deep-fried vegetables with corn,Side dish_fried_any,Main-sub side dish,
deep-fried glass noodles in seaweed,Side dish_fried_any,Main-sub side dish,
deep-fried glass noodles in seaweed,Side dish_fried_any,Main-sub side dish,Lunch or dinner
vegetables croquette,Side dish_fried_any,Main-sub side dish,
deep-fried vegetables,Side dish_fried_any,Main-sub side dish,Lunch
deep-fried vegetables with hijiki,Side dish_fried_any,Main-sub side dish,Lunch
deep-fried spring rolls,Side dish_fried_any,Main-sub side dish,Lunch or dinner
chicken nuggets + ketchup,Side dish_fried_any,Main-sub side dish,Lunch
chicken nuggets + mustard,Side dish_fried_any,Main-sub side dish,Lunch
chicken nuggets + sauce,Side dish_fried_any,Main-sub side dish,
bellflower root nuggets,Side dish_fried_any,Main-sub side dish,Dinner
walnut nuggets,Side dish_fried_any,Main-sub side dish,Lunch
deep-fried lotus root,Side dish_fried_any,Main-sub side dish,
deep-fried vegetables,Side dish_fried_any,Main-sub side dish,
(processed) deep-fried mandu (dumpling),Side dish_fried_any,Main-sub side dish,
deep-fried seaweed,Side dish_fried_any,Main-sub side dish,
assorted mushroom dumpling,Side dish_fried_any,Main-sub side dish,
sweet potato mattang with black sesame,Side dish_fried_any,Main-sub side dish,
deep-fried seaweed,Side dish_fried_any,Main-sub side dish,
potato croquette,Side dish_fried_any,Main-sub side dish,Lunch
croquette,Side dish_fried_any,Main-sub side dish,
potato chips,Side dish_fried_any,Main-sub side dish,
soft crab croquette,Side dish_fried_any,Main-sub side dish,
deep-fried soft crab,Side dish_fried_any,Main-sub side dish,
deep-fried sweet pumpkin,Side dish_fried_any,Main-sub side dish,Lunch
deep-fried broccoli,Side dish_fried_any,Main-sub side dish,Lunch or dinner
deep-fried white bait,Side dish_fried_any,Main-sub side dish,
deep-fried vegetables with corn,Side dish_fried_any,Main-sub side dish,
Pyogo mushroom dumpling,Side dish_fried_any,Main-sub side dish,
lotus root fish cake,Side dish_fried_any,Main-sub side dish,
stir-fried chicken in soy sauce,Side dish_stir_fried_main,Main side dish,Lunch or dinner
(low-sugar) stir-fried chicken,Side dish_stir_fried_main,Main side dish,Dinner
barbequed pork in soy sauce,Side dish_stir_fried_main,Main side dish,
stir-fried octopus and vegetables,Side dish_stir_fried_main,Main side dish,
stir-fried octopus and bean sprout,Side dish_stir_fried_main,Main side dish,
stir-fried vegetables and Neobiani,Side dish_stir_fried_main,Main side dish,
meat dumpling,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried chicken breast with three-color paprika,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried chicken breast and paprika,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried chicken breast in oyster sauce,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried chicken breast and green bean sprout,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried chicken breast and cabbage,Side dish_stir_fried_main,Main side dish,Lunch
stir-fried chicken breast with perilla leaves,Side dish_stir_fried_main,Main side dish,Lunch
stir-fried chicken breast in curry,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried chicken breast and broccoli,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried chicken breast and aubergine,Side dish_stir_fried_main,Main side dish,Lunch
stir-fried chicken breast and chives,Side dish_stir_fried_main,Main side dish,Lunch
stir-fried chicken breast and sweet potato,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried chicken breast and zucchini,Side dish_stir_fried_main,Main side dish,
stir-fried chicken breast and rice cake in chilli sauce,Side dish_stir_fried_main,Main side dish,
stir-fried chicken breast in chili sauce,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried chicken without bones,Side dish_stir_fried_main,Main side dish,
stir-fried chicken without bones,Side dish_stir_fried_main,Main side dish,
stir-fried chicken with cheese,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried chicken,Side dish_stir_fried_main,Main side dish,Lunch or dinner
braised spicy chicken,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried chicken drumsticks in oyster sauce,Side dish_stir_fried_main,Main side dish,
stir-fried tofu and vegetables in oyster sauce,Side dish_stir_fried_main,Main side dish,
stir-fried chicken in oyster sauce,Side dish_stir_fried_main,Main side dish,
stir-fried chicken steak,Side dish_stir_fried_main,Main side dish,
stir-fried chicken in teriyaki sauce,Side dish_stir_fried_main,Main side dish,
barbequed chicken and mushroom,Side dish_stir_fried_main,Main side dish,
stir-fried pork and bokchoy,Side dish_stir_fried_main,Main side dish,
stir-fried pork and bokchoy,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried pork and winter celery,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried chicken and bokchoy,Side dish_stir_fried_main,Main side dish,
stir-fried chicken and broccoli,Side dish_stir_fried_main,Main side dish,
stir-fried beef brisket,Side dish_stir_fried_main,Main side dish,
stir-fried chicken and green bean sprout,Side dish_stir_fried_main,Main side dish,
stir-fried chicken and paprika,Side dish_stir_fried_main,Main side dish,
stir-fried chicken and cucumber with sesame,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried chicken and paprika,Side dish_stir_fried_main,Main side dish,
(low-salt) stir-fried chicken and paprika,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried chicken breast and paprika,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried chicken breast and mushroom,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried chicken drumsticks and paprika,Side dish_stir_fried_main,Main side dish,
stir-fried chicken drumsticks and vegetables,Side dish_stir_fried_main,Main side dish,
stir-fried chicken in oriental sauce,Side dish_stir_fried_main,Main side dish,
stir-fried chicken and vegetables,Side dish_stir_fried_main,Main side dish,
stir-fried chicken breast and vegetables,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried chicken and cabbage,Side dish_stir_fried_main,Main side dish,
stir-fried chicken tenderloin and apple,Side dish_stir_fried_main,Main side dish,Lunch
stir-fried chicken tenderloin and napa cabbage,Side dish_stir_fried_main,Main side dish,
stir-fried shrimp and carrot in black soy,Side dish_stir_fried_main,Main side dish,
stir-fried pork belly slices,Side dish_stir_fried_main,Main side dish,
stir-fried pork belly slices and spring onion slices,Side dish_stir_fried_main,Main side dish,
stir-fried pork in soy sauce,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried pork in curry,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried pork in oyster sauce,Side dish_stir_fried_main,Main side dish,
stir-fried pork and kimchi,Side dish_stir_fried_main,Main side dish,
stir-fried tofu and kimchi,Side dish_stir_fried_main,Main side dish,Lunch
stir-fried pork and kimchi,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried pork and burdock,Side dish_stir_fried_main,Main side dish,
stir-fried tofu,Side dish_stir_fried_main,Main side dish,
stir-fried pork,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried pork,Side dish_stir_fried_main,Main side dish,
stir-fried pork and garlic in soy sauce,Side dish_stir_fried_main,Main side dish,
stir-fried pork and mushroom,Side dish_stir_fried_main,Main side dish,
stir-fried barbequed pork and kimchi,Side dish_stir_fried_main,Main side dish,
stir-fried barbequed pork in soy sauce,Side dish_stir_fried_main,Main side dish,
stir-fried barbequed pork,Side dish_stir_fried_main,Main side dish,
stir-fried pork,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried pork in teriyaki sauce,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried pork and cabbage,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried pork and onion,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried pork and Yangsongyi mushroom,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried pork and Yangsongyi mushroom,Side dish_stir_fried_main,Main side dish,
stir-fried pork and mushroom,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried pork and konjac,Side dish_stir_fried_main,Main side dish,Lunch
stir-fried pork with perilla leaves,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried pork and rice cake,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried pork and cucumber,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried barbequed pork and onion,Side dish_stir_fried_main,Main side dish,
stir-fried pork in spicy black soy,Side dish_stir_fried_main,Main side dish,
stir-fried pork and vegetables in black soy,Side dish_stir_fried_main,Main side dish,
stir-fried pork with perilla leaves,Side dish_stir_fried_main,Main side dish,
stir-fried pork and vegetables,Side dish_stir_fried_main,Main side dish,
stir-fried pork and paprika in ketchup,Side dish_stir_fried_main,Main side dish,
stir-fried pork and burdock,Side dish_stir_fried_main,Main side dish,
stir-fried pork and paprika,Side dish_stir_fried_main,Main side dish,
stir-fried pork and aubergine,Side dish_stir_fried_main,Main side dish,Lunch
stir-fried pork and broccoli,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried pork and vegetables,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried pork in oyster sauce,Side dish_stir_fried_main,Main side dish,Lunch or dinner
udon (white wheat noodles) with stir-fried beef,Side dish_stir_fried_main,Main side dish,
udon (white wheat noodles) with stir-fried teriyaki chicken,Side dish_stir_fried_main,Main side dish,
udon (white wheat noodles) with stir-fried smoked duck,Side dish_stir_fried_main,Main side dish,
stir-fried udon (white wheat noodles) with seafood and green bean sprout,Side dish_stir_fried_main,Main side dish,
stir-fried vegetables in oyster sauce,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried beef and green bean sprout,Side dish_stir_fried_main,Main side dish,
stir-fried beef and green bean sprout,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried bacon and green bean sprout,Side dish_stir_fried_main,Main side dish,
stir-fried bacon and broccoli,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried pork and green bean sprout,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried pork and washed kimchi,Side dish_stir_fried_main,Main side dish,
stir-fried pork and pineapple,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried pork chops,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried pork and paprika,Side dish_stir_fried_main,Main side dish,Lunch or dinner
barbequed pork,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried barbequed pork in soy sauce,Side dish_stir_fried_main,Main side dish,Dinner
Mapa tofu,Side dish_stir_fried_main,Main side dish,Lunch or dinner
mild Mapa tofu,Side dish_stir_fried_main,Main side dish,Lunch
soy-based Mapa tofu,Side dish_stir_fried_main,Main side dish,
stir-fried pork roll and vegetables,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried meat ball in teriyaki sauce,Side dish_stir_fried_main,Main side dish,
stir-fried meat ball and vegetables,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried meat ball in ketchup,Side dish_stir_fried_main,Main side dish,
stir-fried pork and paprika,Side dish_stir_fried_main,Main side dish,
stir-fried pork and paprika,Side dish_stir_fried_main,Main side dish,Lunch
barbequed pork and chive,Side dish_stir_fried_main,Main side dish,
stir-fried beef and tomato,Side dish_stir_fried_main,Main side dish,
stir-fried shrimp in chilli sauce,Side dish_stir_fried_main,Main side dish,Lunch
stir-fried shrimp in ketchup,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried shrimp in cream sauce,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried shrimp and vegetables,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried shrimp and vegetables,Side dish_stir_fried_main,Main side dish,Lunch
shrimp gambas,Side dish_stir_fried_main,Main side dish,Lunch
stir-fried shrimp and paprika,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried sausage and vegetables,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried sausage and paprika,Side dish_stir_fried_main,Main side dish,
stir-fried beef and rice cake,Side dish_stir_fried_main,Main side dish,
stir-fried barbequed beef and aubergine,Side dish_stir_fried_main,Main side dish,
stir-fried beef and aubergine,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried beef in oyster sauce,Side dish_stir_fried_main,Main side dish,
stir-fried beef in oyster sauce,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried pork with perilla leaves,Side dish_stir_fried_main,Main side dish,
stir-fried beef with perilla leaves,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried beef and sweet pumpkin,Side dish_stir_fried_main,Main side dish,
stir-fried beef and carrot,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried barbequed beef and glass noodles,Side dish_stir_fried_main,Main side dish,
stir-fried beef and glass noodles,Side dish_stir_fried_main,Main side dish,
stir-fried beef and glass noodles,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried barbequed beef and rice cake,Side dish_stir_fried_main,Main side dish,
stir-fried beef and rice cake,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried barbequed beef and mushroom,Side dish_stir_fried_main,Main side dish,
stir-fried barbequed beef and mushroom,Side dish_stir_fried_main,Main side dish,
stir-fried beef and mushroom,Side dish_stir_fried_main,Main side dish,
stir-fried beef and mushroom,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried beef and broccoli,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried beef and bokchoy,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried beef brisket and cabbage,Side dish_stir_fried_main,Main side dish,
stir-fried beef brisket and green bean sprout,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried beef and cabbage,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried beef and bokchoy,Side dish_stir_fried_main,Main side dish,
stir-fried beef and Yangsongyi mushroom,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried beef and onion,Side dish_stir_fried_main,Main side dish,Lunch
stir-fried beef and vegetables,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried beef and pineapple,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried beef and paprika,Side dish_stir_fried_main,Main side dish,Lunch or dinner
barbequed pork chops,Side dish_stir_fried_main,Main side dish,
pork chops with quail eggs,Side dish_stir_fried_main,Main side dish,
vegetables and quail eggs,Side dish_stir_fried_main,Main side dish,Lunch or dinner
beef chops,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried beef and paprika,Side dish_stir_fried_main,Main side dish,Lunch or dinner
barbequed beef and bokchoy,Side dish_stir_fried_main,Main side dish,
barbequed beef and burdock,Side dish_stir_fried_main,Main side dish,
barbequed beef and mini-ball rice cake,Side dish_stir_fried_main,Main side dish,Dinner
barbequed beef,Side dish_stir_fried_main,Main side dish,Lunch or dinner
barbequed beef,Side dish_stir_fried_main,Main side dish,Lunch or dinner
Eonyang style barbequed beef,Side dish_stir_fried_main,Main side dish,Lunch
barbequed beef,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried chicken in soy sauce without bones,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried chicken in soy paste without bones,Side dish_stir_fried_main,Main side dish,
braised spicy chicken without bones,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried kimchi and pork without bones,Side dish_stir_fried_main,Main side dish,
scrambled eggs with bacon,Side dish_stir_fried_main,Main side dish,
scrambled eggs with spinach,Side dish_stir_fried_main,Main side dish,Lunch
scrambled eggs with vegetables,Side dish_stir_fried_main,Main side dish,Dinner
scrambled eggs with shrimp,Side dish_stir_fried_main,Main side dish,
scrambled eggs with soft crab,Side dish_stir_fried_main,Main side dish,
scrambled eggs with soft crab,Side dish_stir_fried_main,Main side dish,
scrambled eggs,Side dish_stir_fried_main,Main side dish,Lunch or dinner
scrambled eggs with cheese,Side dish_stir_fried_main,Main side dish,Lunch
omelette,Side dish_stir_fried_main,Main side dish,
cheese omelette,Side dish_stir_fried_main,Main side dish,
ham omelette,Side dish_stir_fried_main,Main side dish,
cucumber omelette,Side dish_stir_fried_main,Main side dish,
stir-fried octopus and cabbage,Side dish_stir_fried_main,Main side dish,
spicy marinated duck,Side dish_stir_fried_main,Main side dish,Lunch
barbequed duck,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried duck and vegetables,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried beef and cucumber,Side dish_stir_fried_main,Main side dish,
stir-fried cuttlefish in soy sauce,Side dish_stir_fried_main,Main side dish,
stir-fried cuttlefish in spicy sauce,Side dish_stir_fried_main,Main side dish,
stir-fried cuttlefish and rice cake,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried cuttlefish,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried cuttlefish in oyster sauce,Side dish_stir_fried_main,Main side dish,Lunch
stir-fried cuttlefish + plain noodles,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried cuttlefish and shrimp,Side dish_stir_fried_main,Main side dish,
barbequed pork belly and cuttlefish,Side dish_stir_fried_main,Main side dish,Lunch or dinner
barbequed pork belly and cuttlefish (mild flavor),Side dish_stir_fried_main,Main side dish,Lunch
barbequed beef and cuttlefish,Side dish_stir_fried_main,Main side dish,
stir-fried cuttlefish and bokchoy,Side dish_stir_fried_main,Main side dish,
stir-fried cuttlefish and vegetables,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried beef and burdock,Side dish_stir_fried_main,Main side dish,
stir-fried beef and burdock,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried spicy pork,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried spicy pork with black mushroom and spring onion,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried spicy pork with green bean sprout,Side dish_stir_fried_main,Main side dish,
stir-fried spicy pork,Side dish_stir_fried_main,Main side dish,
stir-fried jukkumi and rice cake,Side dish_stir_fried_main,Main side dish,
stir-fried jukkumi and,Side dish_stir_fried_main,Main side dish,Lunch
stir-fried jukkumi and vegetables,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried jukkumi and vegetables in soy sauce,Side dish_stir_fried_main,Main side dish,Lunch
stir-fried beef and spring onion,Side dish_stir_fried_main,Main side dish,
stir-fried beef and chives,Side dish_stir_fried_main,Main side dish,Dinner
Chuncheon-style stir-fried chicken,Side dish_stir_fried_main,Main side dish,
barbequed pork and bean sprout,Side dish_stir_fried_main,Main side dish,
barbequed pork and spring onion,Side dish_stir_fried_main,Main side dish,
barbequed pork and spring onion,Side dish_stir_fried_main,Main side dish,Dinner
stir-fried chicken and Pyogo mushroom,Side dish_stir_fried_main,Main side dish,
stir-fried beef and Pyogo mushroom,Side dish_stir_fried_main,Main side dish,Lunch or dinner
stir-fried smoked duck and sweet pumpkin,Side dish_stir_fried_main,Main side dish,
stir-fried smoked duck in oyster sauce,Side dish_stir_fried_main,Main side dish,
stir-fried smoked duck + daikon wraps,Side dish_stir_fried_main,Main side dish,
stir-fried smoked duck,Side dish_stir_fried_main,Main side dish,
stir-fried smoked duck and onion,Side dish_stir_fried_main,Main side dish,
stir-fried smoked duck and green bean sprout,Side dish_stir_fried_main,Main side dish,
stir-fried smoked duck and vegetables,Side dish_stir_fried_main,Main side dish,
barbequed beef in red chilli paste,Side dish_stir_fried_main,Main side dish,
stir-fried spicy cuttlefish,Side dish_stir_fried_main,Main side dish,
stir-fried beef and potato,Side dish_stir_fried_main,Main side dish,Lunch or dinner
barbequed beef,Side dish_stir_fried_main,Main side dish,
