아침밥/일품,아침국,아침반찬1,아침반찬2,아침김치,오전간식1,오전간식2,점심밥/일품,점심국,점심반찬1,점심반찬2,점심김치,오후간식1,오후간식2,저녁밥/일품,저녁국,저녁반찬1,저녁반찬2,저녁김치,총점
팥밥(30),만두국,느타리버섯나물,애호박건새우볶음,동치미,S우유(100ml),S연두부샐러드(오리엔탈드레싱),해물볶음밥,팥죽,견과류고구마범벅,empty,오이 피클,S쌀음료,empty,밤콩밥,당근스프,우엉채곤약조림,empty,오이소박이김치,1
팥밥(30),팥죽,느타리버섯나물,애호박건새우볶음,동치미,S연두부샐러드(오리엔탈드레싱),S우유(100ml),해물볶음밥,당근스프,견과류고구마범벅,empty,오이 피클,empty,S쌀음료,밤콩밥,만두국,empty,우엉채곤약조림,오이소박이김치,3
팥밥(40),팥죽,쇠고기오이볶음,배무생채,동치미,S멜론,S우유(100ml),해물볶음밥,채소스프,견과류고구마범벅,empty,오이 피클,empty,S오렌지주스,밤콩밥,감자옹심이국,삼겹케찹조림,부추나물,오이소박이김치,5
팥밥(30),팥죽,(저염)달걀장조림,애호박건새우볶음,동치미,empty,S우유(100ml),해물볶음밥,당근스프,오징어링튀김,견과류고구마범벅,오이 피클,S오렌지,S쌀음료,밤콩밥,애호박된장국,소고기떡찜,우엉채곤약조림,오이소박이김치,5
충무김밥+반찬,참외미역냉국,매콤콩나물무침,애호박나물,비트초절이,S수제바나나우유,S참깨우유스프,찹쌀밥,냉콩나물국,(고춧가루제외)부추사과무침,두부채소굴소스볶음,나박 김치,S둥글레차,S감자샐러드,밤찹쌀팥밥(30),애호박젓국찌개,감자채볶음,쇠고기토마토조림,총각 김치,1
밤찹쌀팥밥(30),애호박젓국찌개,두부채소굴소스볶음,매콤콩나물무침,총각 김치,S참깨우유스프,S둥글레차,충무김밥+반찬,냉콩나물국,감자채볶음,(고춧가루제외)부추사과무침,나박 김치,S감자샐러드,S수제바나나우유,찹쌀밥,참외미역냉국,쇠고기토마토조림,애호박나물,비트초절이,5
밤찹쌀팥밥,애호박젓국찌개,두부채소굴소스볶음,매콤콩나물무침,총각 김치,S참깨우유스프,S둥글레차,충무김밥+반찬,냉콩나물국,감자채볶음,(고춧가루제외)부추사과무침,나박 김치,S감자샐러드,S수제바나나우유,찹쌀밥,참외미역냉국,쇠고기토마토조림,애호박나물,비트초절이,5
밤찹쌀팥밥,애호박젓국찌개,두부채소굴소스볶음,매콤콩나물무침,총각 김치,S참깨우유스프,S둥글레차,충무김밥+반찬,콩가루시래기국,감자채볶음,empty,나박 김치,empty,S수제바나나우유,찹쌀밥,온청포묵국,쇠고기토마토조림,청경채나물,깍두기,5
수수밥(30),감자탕,순살간장닭갈비,감자버터구이,오이소박이김치,S단호박식혜,S멜론,찹쌀밥(추가),맑은애호박국,아욱나물무침,장산적조림,오이 피클,S호두우유,S달걀당근죽,달걀버섯볶음밥,매콤애호박국,코울슬로,봄동해물전,깻잎김치,1
달걀버섯볶음밥,맑은애호박국,감자버터구이,코울슬로,오이 피클,S달걀당근죽,S단호박식혜,수수밥(30),매콤애호박국,순살간장닭갈비,아욱나물무침,오이소박이김치,S멜론,S호두우유,찹쌀밥(추가),감자탕,장산적조림,봄동해물전,깻잎김치,5
달걀버섯볶음밥,맑은애호박국,감자버터구이,코울슬로,오이 피클,S삶은계란,S단호박식혜,수수밥,매콤애호박국,순살간장닭갈비,아욱나물무침,오이소박이김치,S멜론,S호두우유,찹쌀밥,감자탕,장산적조림,봄동해물전,깻잎김치,5
달걀버섯볶음밥,실파맑은국,감자버터구이,코울슬로,오이 피클,S블루베리고구마샐러드,S오렌지주스,수수밥,매콤애호박국,순살간장닭갈비,아욱나물무침,오이소박이김치,S멜론,S호두우유,찹쌀밥,감자탕,장산적조림,봄동해물전,깻잎김치,5
팥밥(30),맑은바지락탕,팽이버섯나물,고사리나물,열무 물김치,S쌀음료,S참외샐러드,밤콩밥,두부전골,느타리버섯나물,떡갈비채소볶음,깍두기,S수제블루베리우유,empty,일본식쇠고기덮밥(규동),감자미역국,채소크로켓,empty,총각 김치,1
팥밥(30),맑은바지락탕,empty,팽이버섯나물,총각 김치,S참외샐러드,S쌀음료,밤콩밥,두부전골,떡갈비채소볶음,고사리나물,열무 물김치,S수제블루베리우유,empty,일본식쇠고기덮밥(규동),감자미역국,채소크로켓,느타리버섯나물,깍두기,2
팥밥,맑은바지락탕,가지달걀말이,팽이버섯나물,총각 김치,S참외샐러드,S쌀음료,밤콩밥,두부전골,떡갈비채소볶음,고사리나물,열무 물김치,empty,S수제블루베리우유,일본식쇠고기덮밥(규동),맑은장국,고구마스틱,양상추딸기샐러드,백김치,5
팥밥,맑은바지락탕,닭살청경채볶음,팽이버섯나물,총각 김치,S참외,S쌀음료,밤콩밥,두부전골,떡갈비채소볶음,고사리나물,열무 물김치,empty,S수제블루베리우유,일본식쇠고기덮밥(규동),감자미역국,채소크로켓,양상추샐러드(키위드레싱),깍두기,5
옥수수밥,만두국,으깬두부채소전,참외노각무침,동치미,S토마토주스,S수제바나나우유,쇠고기가지덮밥,느타리버섯맑은국,가지구이,고구마순된장무침,오이소박이김치,S소고기우엉죽,S연두부샐러드(오리엔탈드레싱),찹쌀밥(30),느타리버섯국,애호박건새우볶음,도라지무침,비트초절이,1
찹쌀밥(30),만두국,애호박건새우볶음,참외노각무침,비트초절이,S소고기우엉죽,S토마토주스,쇠고기가지덮밥,느타리버섯맑은국,으깬두부채소전,고구마순된장무침,동치미,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,옥수수밥,느타리버섯국,가지구이,도라지무침,오이소박이김치,4
찹쌀밥,순두부국,애호박건새우볶음,참외노각무침,비트초절이,S소고기우엉죽,S토마토주스,쇠고기가지덮밥,느타리버섯맑은국,으깬두부채소전,고구마순된장무침,동치미,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,옥수수밥,느타리버섯국,닭가슴살데리야끼구이,도라지무침,오이소박이김치,5
찹쌀밥,만두국,브로콜리새우볶음,참외노각무침,비트초절이,empty,S토마토주스,쇠고기가지덮밥,숙주맑은국,으깬두부채소전,요거트과일샐러드,동치미,empty,S수제바나나우유,옥수수밥,차돌순두부백탕,갈치구이,도라지무침,오이소박이김치,5
밤찹쌀팥밥,애호박두부젓국,메추리알고구마조림,미나리초무침,깍두기,S쌀음료,S참깨우유스프,가지채소볶음밥,감자탕,느타리버섯나물,주꾸미야채볶음,나박 김치,S건포도감자볼,S우유(200ml),밤콩밥(30),아욱맑은국,해물김치전,empty,총각 김치,1
가지채소볶음밥,아욱맑은국,메추리알고구마조림,느타리버섯나물,깍두기,S참깨우유스프,S쌀음료,밤콩밥(30),애호박두부젓국,주꾸미야채볶음,미나리초무침,나박 김치,S건포도감자볼,S우유(200ml),밤찹쌀팥밥,감자탕,해물김치전,empty,총각 김치,4
가지채소볶음밥,쇠고기콩나물국,메추리알고구마조림,느타리버섯나물,깍두기,S참깨우유스프,S쌀음료,밤콩밥,애호박두부젓국,주꾸미야채볶음,미나리초무침,나박 김치,S건포도감자볼,S우유(200ml),밤찹쌀팥밥,감자탕,해물김치전,근대무침,총각 김치,5
가지채소볶음밥,미니메밀국수,메추리알고구마조림,토마토두부샐러드,깍두기,S사과,S쌀음료,밤콩밥,쪽파무챗국,주꾸미야채볶음,미나리초무침,나박 김치,empty,S우유(200ml),밤찹쌀팥밥,감자탕,해물김치전,부추잡채볶음,총각 김치,5
백김치볶음밥,만두닭개장,가지양념찜,매콤콩나물무침,열무 물김치,S고구마쉐이크,S소고기감자죽,찹쌀밥,느타리버섯맑은국,건새우애호박볶음,두부채소굴소스볶음,비트초절이,S식혜,S연두부샐러드(오리엔탈드레싱),옥수수밥(30),애호박새우젓국,해물찜,애호박나물,단무지무침,1
옥수수밥(30),애호박새우젓국,두부채소굴소스볶음,매콤콩나물무침,열무 물김치,S소고기감자죽,S식혜,백김치볶음밥,느타리버섯맑은국,가지양념찜,건새우애호박볶음,단무지무침,S연두부샐러드(오리엔탈드레싱),S고구마쉐이크,찹쌀밥,만두닭개장,해물찜,애호박나물,비트초절이,5
옥수수밥,애호박새우젓국,두부채소굴소스볶음,매콤콩나물무침,열무 물김치,S소고기감자죽,S식혜,백김치볶음밥,느타리버섯맑은국,가지양념찜,건새우애호박볶음,단무지무침,S연두부샐러드(오리엔탈드레싱),S고구마쉐이크,찹쌀밥,만두닭개장,해물찜,애호박나물,비트초절이,5
옥수수밥,애호박새우젓국,두부채소굴소스볶음,매콤콩나물무침,열무 물김치,S감말랭이,S식혜,백김치볶음밥,부추맑은국,닭살굴소스볶음,시금치나물,단무지무침,S연두부샐러드(오리엔탈드레싱),empty,찹쌀밥,호박칼제비국,해물찜,머위나물,비트초절이,5
찹쌀밥(추가),모듬버섯찌개,해물김치전,애호박건새우볶음,나박 김치,S우유(100ml),S온도토리묵밥,일본식쇠고기덮밥(규동),팥죽,소고기청경채볶음,채소크로켓,총각 김치,S쌀음료,S참외샐러드,수수밥(30),버섯부추국,팽이버섯부추나물,부추양파생채,오이소박이김치,1
찹쌀밥(추가),팥죽,해물김치전,팽이버섯부추나물,나박 김치,S온도토리묵밥,S우유(100ml),수수밥(30),모듬버섯찌개,소고기청경채볶음,애호박건새우볶음,총각 김치,S참외샐러드,S쌀음료,일본식쇠고기덮밥(규동),버섯부추국,채소크로켓,부추양파생채,오이소박이김치,3
찹쌀밥(추가),팥죽,해물김치전,팽이버섯부추나물,나박 김치,empty,S우유(200ml),수수밥,모듬버섯찌개,소고기청경채볶음,애호박건새우볶음,총각 김치,S참외샐러드,S쌀음료,일본식쇠고기덮밥(규동),두부새우젓국,채소크로켓,부추양파생채,오이소박이김치,5
찹쌀밥(추가),팥죽,해물김치전,돌나물유자청무침,나박 김치,S찐옥수수,S매실차,수수밥,모듬버섯찌개,소고기청경채볶음,견과우엉채조림,총각 김치,S참외샐러드,S쌀음료,일본식쇠고기덮밥(규동),버섯부추국,채소크로켓,메추리알마요네즈샐러드,나박 김치,5
잡곡밥(40),미역만두국,가지무침,치커리유자청무침,깍두기,S소고기우엉죽,S연두부샐러드(오리엔탈드레싱),소고기김주먹밥,감자탕,연근흑임자샐러드,empty,열무 물김치,S둥글레차,S수제바나나우유,율무밥,김치두부국,무말랭이,empty,단무지,1
소고기김주먹밥,김치두부국,empty,연근흑임자샐러드,단무지,S소고기우엉죽,S둥글레차,율무밥,감자탕,가지무침,무말랭이,열무 물김치,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,잡곡밥(40),미역만두국,empty,치커리유자청무침,깍두기,3
소고기김주먹밥,empty,시금치스크램블에그,사과연근샐러드,동치미,S볶음현미죽,S우유(200ml),율무밥,감자탕,오리주물럭,무말랭이,열무 물김치,empty,S수제바나나우유,잡곡밥,단호박김칫국,조기구이,치커리유자청무침,깍두기,5
소고기김주먹밥,유부맑은국,토마토달걀볶음,연근흑임자샐러드,단무지,S단호박떡케익,S둥글레차,율무밥,감자탕,오리불고기,참외나물,열무 물김치,S카스텔라,S레몬주스,잡곡밥,시금치맑은국,삼치간장조림,치커리유자청무침,깍두기,5
팥밥(30),우렁이된장국,오징어부추전,참외노각무침,비트초절이,S참외샐러드,S치즈죽,쇠고기가지덮밥,만두국,채소크로켓,고구마순된장무침,나박 김치,S우유(100ml),S토마토주스,찹쌀밥(추가),팥죽,애호박건새우볶음,empty,총각 김치,1
팥밥(30),우렁이된장국,empty,고구마순된장무침,총각 김치,S치즈죽,S토마토주스,쇠고기가지덮밥,팥죽,채소크로켓,참외노각무침,나박 김치,S참외샐러드,S우유(100ml),찹쌀밥(추가),만두국,오징어부추전,애호박건새우볶음,비트초절이,2
팥밥,청국장국,치즈달걀찜,고구마순된장무침,총각 김치,empty,S토마토주스,쇠고기가지덮밥,브로콜리스프,채소크로켓,참외노각무침,비트초절이,S참외샐러드,S우유(100ml),찹쌀밥,갈비탕+당면,오징어부추전,애호박건새우볶음,깍두기,5
팥밥,우렁이된장국,가자미살구이,브로콜리참깨무침,총각 김치,empty,S토마토주스,쇠고기가지덮밥,미니새우튀김우동,비엔나브로콜리꼬지,고구마범벅,나박 김치,S배,S우유(100ml),찹쌀밥,쇠고기우거지국,오징어부추전,들깨무나물,깍두기,5
찹쌀밥,느타리버섯국,주꾸미채소간장볶음,소고기버섯불고기,열무 김치,S쌀음료,S알리오올리오스파게티,돈육양배추덮밥,만두닭개장,매콤콩나물무침,느타리버섯나물,열무 물김치,S건포도감자볼,S우유미숫가루,옥수수밥(30),삼계탕,가지양념찜,깻잎순멸치볶음,깍두기,1
옥수수밥(30),만두닭개장,주꾸미채소간장볶음,느타리버섯나물,열무 김치,S건포도감자볼,S우유미숫가루,돈육양배추덮밥,느타리버섯국,가지양념찜,매콤콩나물무침,열무 물김치,S알리오올리오스파게티,S쌀음료,찹쌀밥,삼계탕,소고기버섯불고기,깻잎순멸치볶음,깍두기,2
옥수수밥,단호박무국,소고기버섯불고기,매콤콩나물무침,열무 김치,empty,S우유미숫가루,돈육양배추덮밥,느타리버섯국,찐만두,토마토두부샐러드,비트초절이,S귤,S우유(100ml),찹쌀밥,삼계탕,채소비빔소면,empty,깍두기,5
옥수수밥,시금치맑은국,주꾸미채소간장볶음,느타리버섯나물,열무 김치,S오이스틱,S우유미숫가루,돈육양배추덮밥,느타리버섯국,단호박꿀찜,토마토두부샐러드,열무 물김치,S멸치깡,S쌀음료,찹쌀밥,삼계탕,새송이버섯전,채소비빔소면,깍두기,5
찹쌀팥밥,애호박새우젓국찌개,파래자반,고구마줄기볶음,백김치,S마카로니채소샐러드,S보리차,밤찹쌀팥밥(30),순두부찌개,무말랭이,훈제오리단호박볶음,비트초절이,S단호박죽,S수제블루베리우유,밤밥,달래맑은국,새우계란찜,순살된장닭볶음,나박 김치,1
밤찹쌀팥밥(30),달래맑은국,새우계란찜,파래자반,나박 김치,S단호박죽,S보리차,찹쌀팥밥,애호박새우젓국찌개,훈제오리단호박볶음,고구마줄기볶음,비트초절이,S마카로니채소샐러드,S수제블루베리우유,밤밥,순두부찌개,순살된장닭볶음,무말랭이,백김치,5
밤찹쌀팥밥,달래맑은국,새우계란찜,파래자반,나박 김치,S단호박죽,S보리차,찹쌀팥밥,애호박새우젓국찌개,훈제오리단호박볶음,고구마줄기볶음,비트초절이,S마카로니채소샐러드,S수제블루베리우유,밤밥,순두부찌개,순살된장닭볶음,무말랭이,백김치,5
밤찹쌀팥밥,달래맑은국,새우계란찜,파래자반,나박 김치,S단호박죽,S보리차,찹쌀팥밥,애호박새우젓국찌개,훈제오리단호박볶음,고구마줄기볶음,비트초절이,S마카로니채소샐러드,empty,밤밥,순두부찌개,순살된장닭볶음,당근숙주나물,백김치,5
파프리카유부초밥,만두닭개장,양파초절임,검정콩조림,깍두기,S참외샐러드,S우유(200ml),찹쌀밥(추가),감자탕,두부채소굴소스볶음,매콤주꾸미볶음,총각 김치,S단호박식혜,empty,밤콩밥(40),김치국,안매운오삼불고기,empty,열무 물김치,1
파프리카유부초밥,김치국,두부채소굴소스볶음,양파초절임,열무 물김치,S참외샐러드,S단호박식혜,찹쌀밥(추가),만두닭개장,안매운오삼불고기,empty,총각 김치,empty,S우유(200ml),밤콩밥(40),감자탕,매콤주꾸미볶음,검정콩조림,깍두기,5
파프리카유부초밥,실파장국,두부채소굴소스볶음,양파초절임,열무 물김치,S참외샐러드,S단호박식혜,찹쌀밥,만두닭개장,안매운오삼불고기,쑥갓두부무침,총각 김치,empty,S우유(200ml),밤콩밥,감자탕,매콤주꾸미볶음,검정콩조림,깍두기,5
파프리카유부초밥,실파장국,두부채소굴소스볶음,양파초절임,열무 물김치,S파인애플,S오미자차,찹쌀밥,만두닭개장,안매운오삼불고기,숙주나물김무침,총각 김치,empty,S우유(200ml),밤콩밥,감자탕,매콤주꾸미볶음,검정콩조림,깍두기,5
수수밥(30),해물탕,팽이버섯부추나물,느타리버섯나물,오이 피클,S팥죽,S호두우유,밤콩밥,느타리버섯국,채소크로켓,팽이버섯나물,오이소박이김치,S연두부샐러드(오리엔탈드레싱),S쌀음료,불고기야채비빔밥,만두국,고구마줄기볶음,empty,나박 김치,1
수수밥(30),만두국,팽이버섯부추나물,느타리버섯나물,오이 피클,S팥죽,S쌀음료,밤콩밥,해물탕,채소크로켓,팽이버섯나물,오이소박이김치,S연두부샐러드(오리엔탈드레싱),S호두우유,불고기야채비빔밥,느타리버섯국,empty,고구마줄기볶음,나박 김치,3
수수밥,만두국,달걀후라이,느타리버섯나물,콜라비나박김치,S팥죽,S쌀음료,밤콩밥,해물탕,채소크로켓,팽이버섯나물,오이소박이김치,S귤,S우유(150ml),불고기야채비빔밥,느타리버섯국,온두부찜,empty,나박 김치,5
수수밥,만두국,돼지고기파프리카볶음,느타리버섯나물,콜라비나박김치,S방울토마토,S쌀음료,밤콩밥,얼갈이맑은국,삼겹단호박찜,삼색나물,오이소박이김치,empty,S호두우유,불고기야채비빔밥,황태콩나물국,단호박전,오이나물,나박 김치,5
옥수수밥(30),두부감잣국,주꾸미채소간장볶음,돈사태찜,열무 물김치,S식혜,S어묵탕,찹쌀팥밥,두부전골,애호박볶음,떡갈비간장조림,비트초절이,S감자채요거트샐러드,S고구마쉐이크,크림소스스파게티,empty,가지양념찜,매콤콩나물무침,깍두기,1
옥수수밥(30),두부감잣국,주꾸미채소간장볶음,가지양념찜,열무 물김치,S감자채요거트샐러드,S식혜,크림소스스파게티,empty,떡갈비간장조림,애호박볶음,비트초절이,S어묵탕,S고구마쉐이크,찹쌀팥밥,두부전골,돈사태찜,매콤콩나물무침,깍두기,3
옥수수밥,두부감잣국,주꾸미채소간장볶음,가지양념찜,열무 물김치,S감자채요거트샐러드,S식혜,크림소스스파게티,empty,감자튀김,양배추유자청샐러드,비트초절이,empty,S고구마쉐이크,찹쌀팥밥,두부전골,돈사태찜,매콤콩나물무침,깍두기,5
옥수수밥,두부감잣국,주꾸미채소간장볶음,가지양념찜,열무 물김치,S감자채요거트샐러드,S식혜,크림소스스파게티,empty,닭살카레튀김,코울슬로,비트초절이,empty,S고구마쉐이크,찹쌀팥밥,두부전골,돈사태찜,매콤콩나물무침,깍두기,5
찹쌀현미밥(30),애호박맑은국,냉이무침,가지구이,단배추물김치,S쌀음료,S복숭아호두스무디,찹쌀밥,만두국,느타리버섯나물,empty,총각 김치,S쇠고기미역죽,S연두부샐러드(오리엔탈드레싱),쇠고기가지덮밥,느타리버섯국,팽이버섯볶음,empty,열무 김치,1
찹쌀현미밥(30),애호박맑은국,가지구이,냉이무침,단배추물김치,S쇠고기미역죽,S쌀음료,쇠고기가지덮밥,느타리버섯국,empty,느타리버섯나물,총각 김치,S연두부샐러드(오리엔탈드레싱),S복숭아호두스무디,찹쌀밥,만두국,empty,팽이버섯볶음,열무 김치,2
찹쌀현미밥,애호박맑은국,시금치달걀찜,냉이무침,단배추물김치,S복숭아,S우유(200ml),쇠고기가지덮밥,실파장국,어묵구이+케찹,empty,총각 김치,empty,S복숭아호두스무디,찹쌀밥,토란국,병어조림,팽이버섯볶음,열무 김치,5
찹쌀현미밥,애호박맑은국,돈육짜장볶음,냉이무침,단배추물김치,S복숭아,S쌀음료,쇠고기가지덮밥,두부맑은국,치킨너겟+머스타드소스,그린샐러드,콜라비나박김치,empty,S복숭아호두스무디,찹쌀밥,만두국,삼치무간장조림,감자어묵볶음,열무 김치,5
새우편마늘볶음밥,두부감잣국,미니새송이볶음,얼갈이배추겉절이,깍두기,S검은콩우유(200ml),S대추우유스프,밤콩밥,새우살두부국,돈육찹쌀구이,메추리알곤약조림,나박 김치,S수제블루베리우유,S건포도감자볼,흑미밥(40),감자호박국,호두마늘종볶음,알감자조림,열무 물김치,1
흑미밥(40),새우살두부국,메추리알곤약조림,얼갈이배추겉절이,깍두기,S대추우유스프,S검은콩우유(200ml),새우편마늘볶음밥,두부감잣국,미니새송이볶음,알감자조림,나박 김치,S건포도감자볼,S수제블루베리우유,밤콩밥,감자호박국,돈육찹쌀구이,호두마늘종볶음,열무 물김치,5
흑미밥,새우살두부국,메추리알곤약조림,얼갈이배추겉절이,깍두기,S대추우유스프,S검은콩우유(200ml),새우편마늘볶음밥,두부감잣국,미니새송이볶음,알감자조림,나박 김치,S건포도감자볼,S수제블루베리우유,밤콩밥,감자호박국,돈육찹쌀구이,호두마늘종볶음,열무 물김치,5
흑미밥,새우살두부국,메추리알곤약조림,얼갈이배추겉절이,깍두기,empty,S검은콩우유(200ml),새우편마늘볶음밥,두부감잣국,알감자조림,새싹채소샐러드(오리엔탈드레싱),나박 김치,S견과류,S수제블루베리우유,밤콩밥,감자호박국,돈육찹쌀구이,호두마늘종볶음,열무 물김치,5
쇠고기가지덮밥,두부전골,도라지나물,채소크로켓,비트초절이,S쌀음료,S소고기우엉죽,찹쌀밥(추가),느타리버섯국,스크램블에그,도라지무침,오이소박이김치,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,찹쌀현미밥(30),조랭이미역국,참외노각무침,냉이된장무침,열무 김치,1
찹쌀밥(추가),조랭이미역국,스크램블에그,냉이된장무침,비트초절이,S소고기우엉죽,S수제바나나우유,찹쌀현미밥(30),두부전골,채소크로켓,도라지무침,오이소박이김치,S연두부샐러드(오리엔탈드레싱),S쌀음료,쇠고기가지덮밥,느타리버섯국,참외노각무침,도라지나물,열무 김치,3
찹쌀밥,조랭이미역국,스크램블에그,냉이된장무침,비트초절이,S삶은감자,S수제바나나우유,찹쌀현미밥,두부전골,(저염)닭가슴살데리야끼조림,도라지무침,오이소박이김치,S연두부샐러드(오리엔탈드레싱),S쌀음료,쇠고기가지덮밥,채소스프,참외노각무침,도라지나물,열무 김치,5
찹쌀밥,조랭이미역국,스크램블에그,어묵파프리카볶음,비트초절이,S삶은달걀,S수제바나나우유,찹쌀현미밥,두부전골,돈육강정+소스,도라지무침,오이소박이김치,S토마토,S쌀음료,쇠고기가지덮밥,유부맑은국,온두부+양념장,콘채소샐러드,열무 김치,5
팥밥(30),콩나물육개장,고구마순된장무침,느타리버섯나물,깍두기,S건포도감자볼,S고구마쉐이크,옥수수밥,애호박맑은국,우엉채곤약조림,팽이버섯나물,나박 김치,S오미자아이스크림,S채소전,백미밥(추가),만두국,미트볼피망조림,건새우애호박볶음,열무 물김치,1
팥밥(30),애호박맑은국,고구마순된장무침,느타리버섯나물,깍두기,S건포도감자볼,S고구마쉐이크,옥수수밥,만두국,우엉채곤약조림,팽이버섯나물,나박 김치,S채소전,S오미자아이스크림,백미밥(추가),콩나물육개장,미트볼피망조림,건새우애호박볶음,열무 물김치,3
감자밥(40),애호박맑은국,쇠고기달걀장조림,돌나물유자청무침,콜라비나박김치,S모닝빵,S바나나쉐이크,옥수수밥,쇠고기버섯찌개,닭가슴살단호박조림,팽이버섯나물,나박 김치,empty,S오미자아이스크림,백미밥,콩나물육개장,미트볼피망조림,건새우애호박볶음,열무 물김치,5
현미밥,팽이버섯달걀탕,닭살피망볶음,느타리버섯나물,깍두기,S바나나사과키위샐러드,empty,옥수수밥,돼지고기된장찌개,코다리무조림,돌나물유자청무침,나박 김치,S오미자아이스크림,empty,백미밥,콩나물육개장,미트볼피망조림,건새우애호박볶음,열무 물김치,5
찹쌀팥밥,감자호박국,김자반,게맛살파프리카볶음,얼갈이배추 김치,S달걀당근죽,S검은콩우유(200ml),율무밥,두부대합탕국,(저염·저당)돼지갈비찜,햄채소볶음,콜라비나박김치,S우유미숫가루,S연두부샐러드(오리엔탈드레싱),현미밥(40),(저염)닭곰탕,양상추유자청무침,무말랭이,비트초절이,1
현미밥(40),감자호박국,게맛살파프리카볶음,김자반,비트초절이,S달걀당근죽,S우유미숫가루,찹쌀팥밥,두부대합탕국,메추리알곤약조림,방풍나물,콜라비나박김치,S연두부샐러드(오리엔탈드레싱),S검은콩우유(200ml),율무밥,(저염)닭곰탕,양상추유자청무침,무말랭이,얼갈이배추 김치,3
현미밥,감자호박국,게맛살파프리카볶음,김자반,비트초절이,empty,S우유미숫가루,찹쌀팥밥,두부대합탕국,메추리알곤약조림,방풍나물,콜라비나박김치,empty,S검은콩우유(200ml),율무밥,(저염)닭곰탕,동그랑땡채소조림,양상추유자청무침,얼갈이배추 김치,5
현미밥,감자호박국,게맛살파프리카볶음,김자반,비트초절이,empty,S우유미숫가루,찹쌀팥밥,두부대합탕국,메추리알곤약조림,숙주맛살나물,콜라비나박김치,S사과,S검은콩우유(200ml),율무밥,(저염)닭곰탕,돈육콩나물찜,양상추유자청무침,얼갈이배추 김치,5
채소비빔밥,애호박새우젓국찌개,양배추나물,볼어묵채소조림,나박 김치,S소고기우엉죽,S검은깨두유(150ml),밤콩밥,미역만두국,완자케첩조림,empty,깍두기,S고구마쉐이크,S건포도감자볼,팥밥(30),쇠고기콩나물국,가지구이,empty,열무 김치,1
팥밥(30),미역만두국,볼어묵채소조림,양배추나물,나박 김치,S소고기우엉죽,S검은깨두유(150ml),채소비빔밥,애호박새우젓국찌개,완자케첩조림,empty,깍두기,S건포도감자볼,S고구마쉐이크,밤콩밥,쇠고기콩나물국,empty,가지구이,열무 김치,3
팥밥,미역만두국,볼어묵채소조림,양배추나물,나박 김치,empty,S두유(100ml),채소비빔밥,애호박새우젓국찌개,완자케첩조림,empty,깍두기,S파인애플,S고구마쉐이크,밤콩밥,쇠고기콩나물국,미트볼토마토소스조림,가지무침,열무 김치,5
팥밥,미역만두국,볼어묵채소조림,양배추나물,나박 김치,S모닝빵,S검은깨두유(150ml),채소비빔밥,팽이버섯달걀국,완자케첩조림,empty,깍두기,S건포도감자볼,S매실차,밤콩밥,쇠고기콩나물국,돈육사태찜,가지구이,열무 김치,5
찹쌀밥(추가),두부전골,느타리버섯나물,팽이버섯나물,오이소박이김치,S토마토주스,S연두부샐러드(오리엔탈드레싱),찹쌀밥(30),바지락된장국,도라지무침,미트볼피망조림,비트초절이,S호두우유,S팥죽,소고기굴소스볶음밥,만두국,건새우애호박볶음,empty,열무 물김치,1
찹쌀밥(30),만두국,팽이버섯나물,도라지무침,오이소박이김치,S팥죽,S토마토주스,소고기굴소스볶음밥,바지락된장국,empty,느타리버섯나물,비트초절이,S연두부샐러드(오리엔탈드레싱),S호두우유,찹쌀밥(추가),두부전골,미트볼피망조림,건새우애호박볶음,열무 물김치,4
찹쌀밥,갈비탕+당면,달걀숙주냉채,도라지무침,깍두기,empty,S토마토주스,소고기굴소스볶음밥,미니김치우동,채소옥수수튀김,사과오렌지샐러드(요거트드레싱),비트초절이,empty,S호두우유,찹쌀밥,두부전골,미트볼피망조림,건새우애호박볶음,열무 물김치,5
찹쌀밥,감자수제비국,베이컨팽이버섯볶음,도라지무침,오이소박이김치,empty,S토마토주스,소고기굴소스볶음밥,연두부계란탕,치킨텐더샐러드(머스타드드레싱),empty,비트초절이,S크랜베리찹쌀케이크,S호두우유,찹쌀밥,두부전골,미트볼피망조림,건새우애호박볶음,열무 물김치,5
소고기김주먹밥,느타리버섯국,주꾸미채소간장볶음,매콤콩나물무침,깍두기,S고구마샐러드(마요네즈),S쌀음료,찹쌀밥,만두닭개장,애호박나물,무말랭이,총각 김치,S수제바나나우유,S당근스프,옥수수밥(30),바지락국,가지양념찜,고구마순된장무침,나박 김치,1
소고기김주먹밥,느타리버섯국,애호박나물,매콤콩나물무침,깍두기,S고구마샐러드(마요네즈),S수제바나나우유,옥수수밥(30),바지락국,주꾸미채소간장볶음,고구마순된장무침,총각 김치,S당근스프,S쌀음료,찹쌀밥,만두닭개장,가지양념찜,무말랭이,나박 김치,3
소고기김주먹밥,당근스프,마카로니콘샐러드,empty,나박 김치,empty,S수제바나나우유,옥수수밥,바지락국,주꾸미채소간장볶음,고구마순된장무침,총각 김치,S고구마샐러드(마요네즈),S오렌지주스,찹쌀밥,만두닭개장,오징어초무침,무말랭이,얼갈이배추 김치,5
